model_name,month_date,target_month,portfolio,portfolio_return_percent,benchmark_return_percent,mean_fund_excess_return_percent,funds,excess_return_percent,excess_difference
RF,2024-09-01,2024-10-01,0,-5.085839,-6.352122,1.266283,2,1.2662829999999996,-4.440892098500626e-16
RF,2024-09-01,2024-10-01,1,-6.2354555000000005,-6.352122,0.11666650000000006,2,0.11666649999999912,-9.43689570931383e-16
RF,2024-09-01,2024-10-01,2,-5.348337,-6.352122,1.003785,1,1.0037849999999997,-2.220446049250313e-16
RF,2024-09-01,2024-10-01,3,-5.310211499999999,-6.352122,1.0419105,2,1.0419105000000002,2.220446049250313e-16
RF,2024-09-01,2024-10-01,4,-6.346936,-6.352122,0.005185999999999996,2,0.005185999999999247,-7.494005416219807e-16
RF,2024-09-01,2024-10-01,5,-5.714124,-6.352122,0.637998,1,0.6379979999999996,-3.3306690738754696e-16
RF,2024-09-01,2024-10-01,6,-5.8718354999999995,-6.352122,0.48028649999999995,2,0.48028650000000006,1.1102230246251565e-16
RF,2024-09-01,2024-10-01,7,-4.537395999999999,-6.352122,1.814726,2,1.8147260000000003,2.220446049250313e-16
RF,2024-09-01,2024-10-01,8,-4.403874,-6.352122,1.948248,1,1.9482479999999995,-4.440892098500626e-16
RF,2024-09-01,2024-10-01,9,-5.4672635,-6.352122,0.8848585,2,0.8848585,0.0
RF,2024-09-01,2024-10-01,10,-5.476823,-6.352122,0.8752989999999999,2,0.8752989999999992,-7.771561172376096e-16
RF,2024-09-01,2024-10-01,11,-7.043841,-6.352122,-0.691719,1,-0.691719,0.0
RF,2024-09-01,2024-10-01,12,-5.115131,-6.352122,1.236991,2,1.2369909999999997,-2.220446049250313e-16
RF,2024-09-01,2024-10-01,13,-5.5079355,-6.352122,0.8441865,2,0.8441864999999993,-6.661338147750939e-16
RF,2024-09-01,2024-10-01,14,-3.544983,-6.352122,2.807139,1,2.8071389999999994,-4.440892098500626e-16
RF,2024-09-01,2024-10-01,15,-5.6204015,-6.352122,0.7317205,2,0.7317204999999998,-2.220446049250313e-16
RF,2024-09-01,2024-10-01,16,-4.6127305,-6.352122,1.7393915,2,1.7393915,0.0
RF,2024-09-01,2024-10-01,17,-6.169154,-6.352122,0.182968,1,0.1829679999999998,-1.942890293094024e-16
RF,2024-09-01,2024-10-01,18,-5.8128615,-6.352122,0.5392605,2,0.5392604999999993,-7.771561172376096e-16
RF,2024-09-01,2024-10-01,19,-5.627119,-6.352122,0.725003,1,0.7250029999999992,-7.771561172376096e-16
RF,2024-10-01,2024-11-01,0,0.7652464999999999,0.045826,0.7194205,2,0.7194204999999999,-1.1102230246251565e-16
RF,2024-10-01,2024-11-01,1,0.6325835,0.045826,0.5867575,2,0.5867574999999999,-1.1102230246251565e-16
RF,2024-10-01,2024-11-01,2,0.274599,0.045826,0.228773,1,0.22877299999999998,-2.7755575615628914e-17
RF,2024-10-01,2024-11-01,3,0.06386,0.045826,0.018034000000000022,2,0.018034,-2.0816681711721685e-17
RF,2024-10-01,2024-11-01,4,0.2711835,0.045826,0.2253575,2,0.22535750000000002,2.7755575615628914e-17
RF,2024-10-01,2024-11-01,5,0.804786,0.045826,0.75896,1,0.75896,0.0
RF,2024-10-01,2024-11-01,6,-0.7098869999999999,0.045826,-0.7557130000000001,2,-0.755713,1.1102230246251565e-16
RF,2024-10-01,2024-11-01,7,1.550929,0.045826,1.505103,2,1.505103,0.0
RF,2024-10-01,2024-11-01,8,-0.406394,0.045826,-0.45222,1,-0.45221999999999996,5.551115123125783e-17
RF,2024-10-01,2024-11-01,9,2.1819455,0.045826,2.1361195,2,2.1361195,0.0
RF,2024-10-01,2024-11-01,10,0.34107999999999994,0.045826,0.295254,2,0.29525399999999996,-5.551115123125783e-17
RF,2024-10-01,2024-11-01,11,0.515002,0.045826,0.469176,1,0.469176,0.0
RF,2024-10-01,2024-11-01,12,1.4616215000000001,0.045826,1.4157955,2,1.4157955000000002,2.220446049250313e-16
RF,2024-10-01,2024-11-01,13,1.2116555,0.045826,1.1658295,2,1.1658295,0.0
RF,2024-10-01,2024-11-01,14,0.074621,0.045826,0.028795,1,0.028795000000000008,6.938893903907228e-18
RF,2024-10-01,2024-11-01,15,0.017681000000000002,0.045826,-0.028145000000000003,2,-0.028144999999999996,6.938893903907228e-18
RF,2024-10-01,2024-11-01,16,0.1897335,0.045826,0.1439075,2,0.1439075,0.0
RF,2024-10-01,2024-11-01,17,1.272534,0.045826,1.226708,1,1.2267080000000001,2.220446049250313e-16
RF,2024-10-01,2024-11-01,18,0.5469765,0.045826,0.5011505,2,0.5011504999999999,-1.1102230246251565e-16
RF,2024-10-01,2024-11-01,19,0.16613,0.045826,0.120304,1,0.120304,0.0
RF,2024-11-01,2024-12-01,0,-0.536837,-1.36551,0.828673,2,0.828673,0.0
RF,2024-11-01,2024-12-01,1,-0.3556255,-1.36551,1.0098845,2,1.0098845,0.0
