feature_1,feature_2,spearman_rho,abs_rho
const_750,sr_p1y,0.4703349679437865,0.4703349679437865
t_const_750,t_umd_180,0.4683998286485331,0.4683998286485331
t_const_750,sr_p1y,0.46652349698999374,0.46652349698999374
t_mkt_750,t_umd_180,-0.4661375748718367,0.4661375748718367
r2_90,sr_p3y,-0.46347240036914417,0.46347240036914417
t_hml_90,ir_p3y,0.4608685628295014,0.4608685628295014
t_const_250,ir_p6m,0.4598158689738881,0.4598158689738881
t_umd_180,sr_p3y,0.459204700978428,0.459204700978428
const_250,ir_p6m,0.4546931401652375,0.4546931401652375
r2_750,t_umd_90,-0.4517534558819656,0.4517534558819656
t_const_750,t_mkt_250,-0.45152492117499166,0.45152492117499166
r2_750,t_umd_120,-0.447582635125882,0.447582635125882
const_750,sr_p6m,0.44459010631940116,0.44459010631940116
ir_p3y,sr_p1y,0.44361783135735844,0.44361783135735844
t_const_750,t_mkt_750,-0.4426877139659991,0.4426877139659991
t_const_750,sr_p6m,0.4399236143446602,0.4399236143446602
const_750,t_mkt_250,-0.4299768930370836,0.4299768930370836
t_umd_180,t_umd_750,0.4289866729683452,0.4289866729683452
r2_250,t_umd_90,-0.4283057857258969,0.4283057857258969
r2_250,sr_p6m,-0.4253057825967528,0.4253057825967528
r2_250,sr_p3y,-0.42341278916769154,0.42341278916769154
t_hml_750,ir_p1y,0.41895170343293775,0.41895170343293775
t_mkt_250,sr_p6m,-0.4094608694784546,0.4094608694784546
const_750,t_mkt_750,-0.4074465877465155,0.4074465877465155
t_mkt_750,sr_p3y,-0.4054466900227517,0.4054466900227517
r2_250,t_umd_120,-0.4040298926819722,0.4040298926819722
t_mkt_180,t_umd_90,-0.40306244692738813,0.40306244692738813
t_const_750,r2_750,-0.403054522882757,0.403054522882757
r2_180,t_umd_90,-0.4027866572901556,0.4027866572901556
t_umd_90,ir_p3y,0.40077120950650663,0.40077120950650663
r2_750,t_umd_180,-0.3998938306477081,0.3998938306477081
t_mkt_250,t_umd_90,-0.39910150212944606,0.39910150212944606
t_umd_120,ir_p3y,0.3978353747024694,0.3978353747024694
t_const_180,t_umd_750,-0.3968308228503722,0.3968308228503722
t_mkt_90,sr_p1y,-0.3928167120211669,0.3928167120211669
t_mkt_250,t_umd_120,-0.39043035880638804,0.39043035880638804
t_const_250,t_umd_90,0.3891299944146999,0.3891299944146999
const_180,t_umd_750,-0.3879402631636147,0.3879402631636147
t_hml_120,sr_p3y,0.38368444617070346,0.38368444617070346
t_const_250,t_umd_750,-0.3828812587526662,0.3828812587526662
t_umd_90,sr_p1y,0.3827050383263347,0.3827050383263347
r2_90,ir_p1y,-0.3774084674728548,0.3774084674728548
const_250,t_umd_90,0.3761860244820046,0.3761860244820046
const_250,t_umd_750,-0.3749067756583549,0.3749067756583549
t_smb_250,sr_p1y,-0.37486217944989,0.37486217944989
const_750,t_hml_250,0.37182528235463846,0.37182528235463846
t_smb_180,sr_p1y,-0.371512486532224,0.371512486532224
r2_120,sr_p1y,-0.37079005982498286,0.37079005982498286
const_750,t_hml_180,0.37076386702564024,0.37076386702564024
t_const_180,ir_p3y,0.36971637738082935,0.36971637738082935
t_const_250,r2_90,-0.36768216469543596,0.36768216469543596
t_umd_250,ir_p6m,-0.36672590650590886,0.36672590650590886
const_750,r2_750,-0.3661796181272022,0.3661796181272022
