"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2007","6,260.72","5,517.62","6,260.72","5,462.22","","14.80%"
"01-09-2007","5,453.48","4,869.60","5,453.48","4,869.60","","13.04%"
"01-08-2007","4,824.49","4,710.20","4,856.71","4,424.24","","-1.77%"
"01-07-2007","4,911.20","4,707.80","5,009.30","4,707.80","","4.49%"
"01-06-2007","4,700.21","4,625.49","4,700.21","4,441.08","","1.96%"
"01-05-2007","4,609.83","4,434.79","4,620.00","4,357.44","","5.49%"
"01-04-2007","4,369.88","3,889.07","4,425.83","3,889.07","","7.48%"
"01-03-2007","4,065.63","4,058.60","4,100.88","3,814.05","","1.45%"
"01-02-2007","4,007.34","4,420.94","4,504.15","4,007.34","","-8.30%"
"01-01-2007","4,369.84","4,278.38","4,419.32","4,138.72","","3.01%"
"01-12-2006","4,242.18","4,264.54","4,290.87","3,947.74","","0.64%"
"01-11-2006","4,215.13","4,021.16","4,249.90","4,021.16","","5.36%"
"01-10-2006","4,000.73","3,833.10","4,021.35","3,786.62","","4.26%"
"01-09-2006","3,837.28","3,623.73","3,837.28","3,587.27","","6.67%"
"01-08-2006","3,597.38","3,273.66","3,620.37","3,273.66","","9.76%"
"01-07-2006","3,277.37","3,289.27","3,340.15","3,058.36","","0.21%"
"01-06-2006","3,270.48","3,243.78","3,329.57","2,755.45","","-2.44%"
"01-05-2006","3,352.19","3,939.32","4,077.05","3,319.00","","-13.90%"
"01-04-2006","3,893.58","3,777.03","3,893.58","3,663.37","","5.34%"
"01-03-2006","3,696.06","3,425.48","3,696.06","3,425.48","","9.51%"
"01-02-2006","3,375.15","3,246.51","3,377.37","3,233.57","","2.97%"
"01-01-2006","3,277.85","3,121.98","3,279.77","3,112.33","","5.21%"
